ITEMNUMBER,count
A0001520,132
A0001525,14
A0001526,2
A0001528,2
A0001529,4
A0001530,4
A0001532,1
A0001534,6
A0001535,9
A0001536,16
A0001537,5
A0001538,187
A0001539,1
A0001541,5
A0001542,3
A0001543,28
A0001544,6
A0001545,7
A0001546,3
A0001547,47
A0001548,4
A0001549,4
A0001551,1
A0001552,4
A0001553,24
A0001554,34
A0001555,17
A0001557,14
A0001559,10
A0001560,665
A0001561,211
A0001562,122
A0001563,533
A0001564,171
A0001566,157
A0001567,108
A0001568,59
A0001569,86
A0001570,479
A0001571,528
A0001572,151
A0001573,272
A0001574,353
A0001575,403
A0001576,101
A0001577,214
A0001578,31
A0001579,116
A0001580,133
A0001581,45
A0001582,16
A0001583,36
A0001584,101
A0001585,131
A0001586,35
A0001587,28
A0001588,31
A0001593,6
A0001594,10
A0001596,24
A0001597,7
A0001599,1
A0001600,1
A0001601,13
A0001602,9
A0001603,2
A0001604,2
A0001606,12
A0001608,7
A0001609,3
A0001611,1
A0001612,1
A0001613,10
A0001615,3
A0001616,1
A0001617,267
A0001618,134
A0001619,433
A0001621,305
A0001623,5
A0001624,29
A0001625,9
A0001627,27
A0001630,47
A0001631,1
A0001633,69
A0001634,339
A0001637,7
A0001638,16
A0001639,49
A0001640,1
A0001641,28
A0001642,26
A0001643,753
A0001644,183
A0001645,698
A0001646,121
A0001647,330
A0001648,288
A0001650,7
A0001651,3
A0001653,2
A0001655,30
A0001656,265
A0001657,1
A0001658,23
A0001659,119
A0001660,1
A0001661,1
A0001662,31
A0001663,30
A0001664,12
A0001666,1
A0001667,19
A0001675,287
A0001679,27022
A0001681,2
A0001682,6
A0001683,57
A0001684,289
A0001685,302
A0001686,151
A0001687,286
A0001688,201
A0001689,117
A0001690,23
A0001691,12
A0001692,2
A0001693,6
A0001694,3
A0001695,4
A0001698,2
A0001699,35
A0001700,35
A0001701,5
A0001702,6
A0001703,9
A0001704,4
A0001705,3
A0001714,7
A0001715,25
A0001722,15
A0001723,6
A0001724,2
A0001725,1
A0001726,15261
A0001727,5690
A0001728,56
A0001729,2608
A0001730,1644
A0001731,3539
A0001732,259
A0001733,5876
A0001734,1199
A0001735,1
A0001736,19
A0001738,2
A0001742,4
A0001743,248
A0001744,195
A0001745,5
A0001746,4
A0001747,12
A0001748,26
A0001749,8
A0001750,3
A0001751,10
A0001752,219
A0001753,40
A0001754,23
A0001756,17
A0001757,323
A0001758,402
A0001759,50
A0001762,120
A0001763,9
A0001765,4
A0001766,2
A0001768,1
A0001769,3
A0001773,1
A0001780,1
A0001782,2
A0001783,4
A0001784,26
A0001785,90
A0001788,36
A0001790,3768
A0001791,2
A0001793,71
A0001794,36
A0001795,44
A0001796,33
A0001798,25
A0001799,1
A0001800,27
A0001801,299
A0001802,67
